"Property Identification Number","Address","Zip Code","Managing Organization","Owership Status","Building","Zoning","Ward","Community Area","Date Property Was Added","Deed Status","Date Property Was Purchased","Date Property  Was Sold","Date of  Last Update","Event","AIS Category","EDR Complete"
"25-24-413-025-0000","11902 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/16/2001","-","11/29/2021","-","-","N"
"25-24-413-026-0000","11904 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/18/2001","-","11/29/2021","-","-","N"
"25-24-413-027-0000","11908 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/16/2001","-","11/29/2021","-","-","N"
"25-24-413-028-0000","11910 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/16/2001","-","11/29/2021","-","-","N"
"25-24-413-029-0000","11912 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/16/2001","-","11/29/2021","-","-","N"
"25-24-413-030-0000","11914 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/16/2001","-","11/29/2021","-","-","N"
"25-24-413-031-0000","11918 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/16/2001","-","11/29/2021","-","-","N"
"25-24-413-032-0000","11920 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/16/2001","-","11/29/2021","-","-","N"
"25-24-413-033-0000","11922 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-413-034-0000","11924 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-413-035-0000","11928 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/19/2001","-","11/29/2021","-","-","N"
"25-24-413-036-0000","11932 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-413-037-0000","11934 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-413-038-0000","11938 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-413-039-0000","11940 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-413-040-0000","11942 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-413-041-0000","11944 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-25-205-012-0000","12227 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-013-0000","12229 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-014-0000","12233 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-015-0000","12235 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-016-0000","12237 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-017-0000","12239 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-018-0000","12243 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-019-0000","12245 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-020-0000","12247 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-021-0000","12249 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-022-0000","12253 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-023-0000","12255 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-024-0000","12257 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-025-0000","12200 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-027-0000","12204 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-028-0000","12208 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-029-0000","12210 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-030-0000","12212 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","11/13/2001","-","11/29/2021","-","-","N"
"25-25-205-031-0000","12214 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","11/13/2001","-","11/29/2021","-","-","N"
"25-25-205-032-0000","12218 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-033-0000","12220 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-034-0000","12222 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-035-0000","12224 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-036-0000","12226 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"25-25-205-037-0000","12230 S CALHOUN AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/09/2002","-","11/29/2021","-","-","N"
"20-28-110-029-0000","7228 S LOWE AVE","60621","-","Sold","-","RT-4","06","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-28-110-030-0000","7230 S LOWE AVE","60621","-","Sold","-","RT-4","06","ENGLEWOOD","05/26/2017","Partially Verified","03/22/1991","12/20/1995","11/02/2021","-","-","N"
"20-28-112-003-0000","7232 S STEWART AVE","0","DPD - Open Space","Owned by City","-","POS-1","06","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-28-115-001-0000","7301 S UNION AVE","60621","-","Sold","-","RS-3","06","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-28-116-001-0000","7303 S LOWE AVE","60621","None","Owned by City","-","RS-3","06","ENGLEWOOD","05/26/2017","Partially Verified","09/17/2002","-","11/02/2021","-","-","N"
"20-28-117-012-0000","414 W 74TH ST","0","-","Owned by City","-","RT-4","06","ENGLEWOOD","05/26/2017","Partially Verified","02/05/1993","-","11/02/2021","-","-","N"
"20-28-122-010-0000","7432 S PARNELL AVE","60621","DPD - Large Lots","Owned by City","-","RS-3","06","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-28-123-001-0000","7401 S PARNELL AVE","60621","None","Owned by City","-","RS-3","06","ENGLEWOOD","05/26/2017","Partially Verified","11/18/1992","-","11/02/2021","-","-","N"
"20-28-123-006-0000","7421 S PARNELL AVE","60621","DPD - Large Lots","Owned by City","-","RS-3","06","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-28-123-013-0000","7449 S PARNELL AVE","60621","None","Owned by City","-","RS-3","06","ENGLEWOOD","05/26/2017","Partially Verified","10/15/1992","-","11/02/2021","-","-","N"
"20-28-125-001-0000","7401 S EGGLESTON AVE","60621","None","Owned by City","-","RT-4","06","GREATER GRAND CROSSING","05/26/2017","Partially Verified","04/01/2002","-","11/02/2021","-","-","N"
"20-28-125-016-0000","7400 S STEWART AVE","60621","None","Owned by City","-","RT-4","06","GREATER GRAND CROSSING","05/26/2017","Partially Verified","03/17/1998","-","11/02/2021","-","-","N"
"20-28-200-001-0000","7101 S STEWART AVE","0","-","Owned by City","-","B3-2","06","GREATER GRAND CROSSING","05/26/2017","Partially Verified","01/19/1999","-","11/02/2021","-","-","N"
"20-28-200-006-0000","7120 S HARVARD AVE","60621","-","Owned by City","-","RT-4","06","GREATER GRAND CROSSING","05/26/2017","Partially Verified","01/19/1999","-","11/02/2021","-","-","N"
"20-28-200-013-0000","7138 S HARVARD AVE","60621","DPD - Large Lots","Owned by City","-","RT-4","06","GREATER GRAND CROSSING","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-28-200-016-0000","7152 S HARVARD AVE","60621","DPD - Large Lots","Sold","-","RT-4","06","GREATER GRAND CROSSING","05/26/2017","Unverified","-","12/01/2017","11/02/2021","-","-","N"
"20-28-202-004-0000","7109 S PRINCETON AVE","60621","-","Owned by City","-","RT-4","06","GREATER GRAND CROSSING","05/26/2017","Partially Verified","01/12/1995","-","11/02/2021","-","-","N"
"20-29-424-036-0000","1134 W 79TH ST","60620","AIS","Owned by City","Y","B1-1","17","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-29-424-040-0000","7841 S RACINE AVE","60620","-","Sold","-","B1-1","17","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-29-425-031-0000","1124 W 79TH ST","60620","-","Sold","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-29-425-032-0000","1122 W 79TH ST","60620","-","Sold","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-29-426-032-0000","1058 W 79TH ST","60620","-","Sold","-","RM-6","17","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-29-426-033-0000","1046 W 79TH ST","60620","-","Sold","-","RM-6","17","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-29-427-028-0000","7844 S MORGAN ST","60620","-","Sold","-","RS-3","17","AUBURN GRESHAM","05/26/2017","Partially Verified","01/24/1995","11/12/2009","11/02/2021","-","-","N"
"20-29-430-027-0000","858 W 79TH ST","0","DPD - Planning","Owned by City","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Verified","12/03/1997","-","11/02/2021","Assignment","-","N"
"20-29-430-028-0000","852 W 79TH ST","0","DPD - Planning","Owned by City","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Verified","06/23/1999","-","11/02/2021","Assignment","-","N"
"20-29-430-029-0000","846 W 79TH ST","0","DPD - Planning","Owned by City","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Partially Verified","-","-","11/02/2021","Assignment","-","N"
"20-29-430-030-0000","842 W 79TH ST","0","DPD - Planning","Owned by City","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Partially Verified","-","-","11/02/2021","Assignment","-","N"
"20-29-430-031-0000","840 W 79TH ST","0","DPD - Planning","Owned by City","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Partially Verified","-","-","11/02/2021","Assignment","-","N"
"20-29-430-032-0000","838 W 79TH ST","0","DPD - Planning","Owned by City","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Partially Verified","-","-","11/02/2021","Assignment","-","N"
"20-29-430-033-0000","834 W 79TH ST","0","-","Sold","-","B1-2","17","AUBURN GRESHAM","05/26/2017","Partially Verified","05/20/1999","05/15/2000","11/02/2021","-","-","N"
"20-30-101-019-0000","7135 S CLAREMONT AVE","60636","-","Owned by City","-","RS-2","18","CHICAGO LAWN","05/26/2017","Partially Verified","09/17/1987","-","11/02/2021","-","-","N"
"20-30-102-013-0000","7121 S OAKLEY AVE","60636","None","Owned by City","-","RS-2","18","CHICAGO LAWN","05/26/2017","Partially Verified","07/05/1994","-","11/02/2021","-","-","N"
"20-36-119-021-0000","8220 S EAST END AVE","60617","DPD - Large Lots","Sold","-","RS-2","08","AVALON PARK","05/26/2017","Unverified","-","04/02/2018","11/02/2021","-","-","N"
"20-36-119-022-0000","8222 S EAST END AVE","60617","DPD - Large Lots","Sold","-","RS-2","08","AVALON PARK","05/26/2017","Unverified","-","04/02/2018","11/02/2021","-","-","N"
"20-36-203-001-0000","2137 E 79TH ST","0","-","Sold","-","B3-2","08","SOUTH CHICAGO","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-36-217-023-0000","8112 S CLYDE AVE","60617","-","Sold","-","RS-3","08","SOUTH CHICAGO","05/26/2017","Partially Verified","11/03/2015","03/16/2018","11/02/2021","-","-","N"
"20-36-315-012-0000","8435 S EUCLID AVE","60617","DPD - Large Lots","Owned by City","-","RS-2","08","AVALON PARK","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-36-329-021-0000","8651 S CONSTANCE AVE","60617","-","Owned by City","-","B3-1","08","AVALON PARK","05/26/2017","Partially Verified","04/24/2003","-","11/02/2021","-","-","N"
"20-36-329-022-0000","8653 S CONSTANCE AVE","60617","-","Owned by City","-","B3-1","08","AVALON PARK","05/26/2017","Partially Verified","04/24/2003","-","11/02/2021","-","-","N"
"20-36-329-023-0000","8655 S CONSTANCE AVE","60617","-","Owned by City","-","B3-1","08","AVALON PARK","05/26/2017","Partially Verified","04/24/2003","-","11/02/2021","-","-","N"
"20-36-329-024-0000","8659 S CONSTANCE AVE","60617","-","Owned by City","-","B3-1","08","AVALON PARK","05/26/2017","Partially Verified","04/24/2003","-","11/02/2021","-","-","N"
"20-24-428-005-0000","2212 E 71ST ST","60649","None","Owned by City","-","B1-3","05","SOUTH SHORE","05/26/2017","Partially Verified","-","-","11/02/2021","-","-","N"
"20-24-428-006-0000","2216 E 71ST ST","60649","None","Owned by City","-","B1-3","05","SOUTH SHORE","05/26/2017","Partially Verified","-","-","11/02/2021","Signal","-","N"
"20-03-419-051-0000","4542 S EVANS AVE","60653","-","Owned by City","-","RT-4","04","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-29-209-003-0000","7205 S MAY ST","60621","None","Owned by City","-","RS-3","06","ENGLEWOOD","05/26/2017","Partially Verified","02/25/1997","-","11/02/2021","-","-","N"
"20-29-209-004-0000","7207 S MAY ST","60621","None","Owned by City","-","RT-4","06","ENGLEWOOD","05/26/2017","Partially Verified","06/05/1985","-","11/02/2021","-","-","N"
"20-03-418-045-0000","622 E 46TH ST","60653","-","Owned by City","-","RT-4","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-418-023-0000","4535 S ST LAWRENCE AVE","60653","-","Owned by City","-","RT-4","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-409-007-0000","4451 S VINCENNES AVE","0","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-03-400-046-0000","4311 S VERNON AVE","60653","-","Owned by City","-","B3-3","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-33-301-001-0000","657 W 83RD ST","60620","-","Sold","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-33-301-002-0000","653 W 83RD ST","60620","-","Sold","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Partially Verified","03/27/1991","06/01/2001","11/02/2021","-","-","N"
"20-33-301-003-0000","651 W 83RD ST","60620","-","Sold","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-03-322-019-0000","4618 S CALUMET AVE","60653","-","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-33-306-015-0000","8350 S KERFOOT AVE","60620","DPD - Large Lots","Sold","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-33-306-016-0000","8352 S KERFOOT AVE","60620","None","Owned by City","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Partially Verified","01/11/2008","-","11/02/2021","-","-","N"
"20-03-310-021-0000","4418 S CALUMET AVE","0","None","Owned by City","-","RM-5","03","GRAND BOULEVARD","04/02/2019","Verified","01/08/1976","-","11/02/2021","-","-","N"
"20-33-308-007-0000","8500 S GIVINS CT","60620","None","Owned by City","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Partially Verified","09/07/2006","-","11/02/2021","-","-","N"
"20-33-308-008-0000","8516 S GIVINS CT","60620","None","Owned by City","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Partially Verified","02/18/1997","-","11/02/2021","-","-","N"
"20-33-309-008-0000","8519 S GIVINS CT","60620","None","Owned by City","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Partially Verified","04/25/1993","-","11/02/2021","-","-","N"
"20-33-309-013-0000","8529 S GIVINS CT","60620","None","Owned by City","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Partially Verified","06/07/1996","-","11/02/2021","-","-","N"
"20-33-309-025-0000","8428 S GILBERT CT","60620","None","Owned by City","-","RS-3","21","AUBURN GRESHAM","05/26/2017","Partially Verified","09/07/2006","-","11/02/2021","-","-","N"
"20-03-428-027-0000","732 E 47TH ST","60653","None","Owned by City","-","B1-1","4","GRAND BOULEVARD","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-33-309-040-0000","8604 S VINCENNES AVE","60620","-","Owned by City","-","M1-2","21","AUBURN GRESHAM","05/26/2017","Partially Verified","05/08/2002","-","11/02/2021","-","-","N"
"20-33-309-042-0000","8600 S VINCENNES AVE","60620","-","Owned by City","-","M1-2","21","AUBURN GRESHAM","05/26/2017","Partially Verified","04/09/2002","-","11/02/2021","-","-","N"
"20-09-300-042-0000","5152 S EMERALD AVE","60609","-","Owned by City","-","RS-3","20","NEW CITY","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-33-311-012-0000","648 W 86TH ST","60620","None","Owned by City","-","RS-2","21","AUBURN GRESHAM","05/26/2017","Partially Verified","08/08/2006","-","11/02/2021","-","-","N"
"20-33-314-007-0000","8647 S VINCENNES AVE","60620","-","Owned by City","-","M1-1","21","AUBURN GRESHAM","05/26/2017","Partially Verified","08/18/1999","-","11/02/2021","-","-","N"
"20-33-314-008-0000","8645 S VINCENNES AVE","60620","-","Owned by City","-","M1-1","21","AUBURN GRESHAM","05/26/2017","Partially Verified","08/18/1999","-","11/02/2021","-","-","N"
"20-23-401-011-0000","6738 S DORCHESTER AVE","60637","None","Owned by City","-","RT-4","05","SOUTH SHORE","05/26/2017","Partially Verified","12/11/1979","-","11/02/2021","-","-","N"
"20-23-401-015-0000","6746 S DORCHESTER AVE","60637","None","Owned by City","-","RT-4","05","SOUTH SHORE","05/26/2017","Partially Verified","10/06/1994","-","11/02/2021","-","-","N"
"20-23-403-013-0000","1534 E 67TH PL","60637","DPD - Large Lots","Sold","-","RM-5","05","SOUTH SHORE","05/26/2017","Unverified","-","12/08/2017","11/02/2021","-","-","N"
"20-23-405-022-0000","1540 E 68TH ST","60637","-","Sold","-","RM-5","05","SOUTH SHORE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-23-405-025-0000","6758 S STONY ISLAND AVE","60649","-","Sold","-","B3-3","05","SOUTH SHORE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-23-406-003-0000","1411 E 68TH ST","60637","-","Sold","-","RT-4","05","SOUTH SHORE","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-23-406-016-0000","6847 S DORCHESTER AVE","60637","DPD - Large Lots","Sold","-","RT-4","05","SOUTH SHORE","05/26/2017","Unverified","-","11/14/2017","11/02/2021","-","-","N"
"20-23-407-001-0000","6801 S DANTE AVE","60637","-","Owned by City","-","RT-4","05","SOUTH SHORE","05/26/2017","Partially Verified","05/22/2001","-","11/02/2021","-","-","N"
"20-26-424-024-0000","7814 S AVALON AVE","60619","-","Sold","-","RS-3","08","AVALON PARK","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-23-222-019-0000","6610 S KIMBARK AVE","60637","-","Sold","-","RM-5","05","WOODLAWN","05/26/2017","Partially Verified","08/04/1995","03/11/2005","11/02/2021","-","-","N"
"17-27-409-073-0000","2901 S COTTAGE GROVE AVE -N","0","AIS","Owned by City","Y","-","-","-","04/02/2019","Partially Verified","-","-","12/14/2021","AIS Env Liability","-","N"
"20-20-201-051-0000","6316 S ABERDEEN ST","60621","None","Owned by City","-","RS-3","16","ENGLEWOOD","05/26/2017","Verified","05/31/2006","-","11/02/2021","-","-","N"
"20-20-202-003-0000","1053 W 63RD ST","60621","None","Owned by City","-","C1-2","16","ENGLEWOOD","05/26/2017","Partially Verified","02/05/1993","-","11/02/2021","-","-","N"
"20-20-202-004-0000","1051 W 63RD ST","60621","None","Owned by City","-","C1-2","16","ENGLEWOOD","05/26/2017","Verified","07/21/1999","-","11/02/2021","-","-","N"
"20-20-202-010-0000","6318 S ABERDEEN ST","60621","None","Owned by City","-","RS-3","16","ENGLEWOOD","05/26/2017","Partially Verified","04/06/1984","-","11/02/2021","-","-","N"
"20-20-202-017-0000","6343 S ABERDEEN ST","60621","None","Owned by City","-","RS-3","16","ENGLEWOOD","05/26/2017","Verified","09/28/1996","-","11/02/2021","-","-","N"
"20-20-202-025-0000","6322 S CARPENTER ST","60621","DPD - Large Lots","Owned by City","-","RS-3","16","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-20-202-040-0000","6323 S ABERDEEN ST","60621","None","Owned by City","-","RS-3","16","ENGLEWOOD","05/26/2017","Partially Verified","11/09/1989","-","11/02/2021","-","-","N"
"17-27-402-021-0000","2640 S LAKE PARK AVE -N","0","AIS","Owned by City","Y","-","-","-","04/02/2019","Partially Verified","-","-","12/14/2021","AIS Env Liability","-","N"
"17-27-400-008-0000","2601 S DR MARTIN LUTHER KING JR DR","0","AIS","Owned by City","Y","PD 1509","4","DOUGLAS","04/02/2019","Partially Verified","-","-","12/14/2021","AIS Env Liability","-","N"
"17-27-400-006-0000","434 E 26TH ST","60616","AIS","Owned by City","Y","PD 1509","4","NEAR SOUTH SIDE","04/02/2019","Partially Verified","-","-","12/14/2021","AIS Env Liability","-","N"
"17-18-102-020-0000","21 S LEAVITT ST","60612","-","Owned by City","-","RM-5","27","NEAR WEST SIDE","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-20-205-001-0000","901 W 63RD ST","60621","-","Sold","-","PD 1131","16","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-20-205-002-0000","901 W 63RD ST","60621","-","Sold","-","PD 1131","16","ENGLEWOOD","05/26/2017","Partially Verified","09/17/2008","12/23/2008","11/02/2021","-","-","N"
"20-20-205-003-0000","901 W 63RD ST","60621","-","Sold","-","PD 1131","16","ENGLEWOOD","05/26/2017","Partially Verified","10/22/1991","12/23/2008","11/02/2021","-","-","N"
"17-07-434-020-0000","1710 W MADISON ST","0","-","Owned by City","-","C1-3","27","NEAR WEST SIDE","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"17-07-314-047-0000","2118 W LAKE ST","60612","DPD - Real Estate","Sold","-","PMD 4","27","NEAR WEST SIDE","04/02/2019","Partially Verified","-","11/02/2018","11/02/2021","-","-","N"
"20-20-205-031-0000","6356 S PEORIA ST","60621","None","Sold","-","RT-4","16","ENGLEWOOD","05/26/2017","Verified","04/13/1998","03/16/2018","11/02/2021","-","-","N"
"20-02-106-038-0000","4062 S ELLIS AVE","60653","-","Owned by City","-","B3-3","04","OAKLAND","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-21-125-026-0000","663  S UNION AVE -N","0","None","Owned by City","-","-","-","-","05/26/2017","Partially Verified","05/16/0977","-","11/02/2021","Signal","-","N"
"20-21-125-034-0000","6636 S LOWE AVE","60621","None","Owned by City","-","RT-4","06","ENGLEWOOD","05/26/2017","Partially Verified","06/11/1980","-","11/02/2021","Signal","-","N"
"20-02-119-013-0000","827 E 42ND PL","60653","-","Owned by City","-","RM-5","04","OAKLAND","04/02/2019","Partially Verified","-","-","11/02/2021","-","-","N"
"20-21-125-054-0000","6625 S UNION AVE","60621","None","Owned by City","-","RT-4","06","ENGLEWOOD","05/26/2017","Verified","10/27/1976","-","11/02/2021","Signal","-","N"
"20-21-126-030-0000","6632 S PARNELL AVE","60621","None","Owned by City","-","RT-4","06","ENGLEWOOD","05/26/2017","Verified","03/03/2005","-","11/02/2021","Signal","-","N"
"20-21-126-032-0000","6634 S PARNELL AVE","60621","None","Owned by City","-","RT-4","06","ENGLEWOOD","05/26/2017","Verified","03/03/2005","-","11/02/2021","Signal","-","N"
"20-21-127-002-0000","6609 S PARNELL AVE","60621","None","Sold","-","RT-4","06","ENGLEWOOD","05/26/2017","Unverified","-","12/14/2017","11/02/2021","-","-","N"
"20-21-127-010-0000","6606 S NORMAL BLVD","60621","-","Sold","-","RT-4","06","ENGLEWOOD","05/26/2017","Partially Verified","03/10/1977","10/24/2008","11/02/2021","-","-","N"
"20-21-127-024-0000","6620 S NORMAL BLVD","60621","DPD - Large Lots","Sold","-","RT-4","06","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-21-128-003-0000","6639 S PARNELL AVE","60621","None","Owned by City","-","RT-4","06","ENGLEWOOD","05/26/2017","Verified","07/25/1997","-","11/02/2021","Signal","-","N"
"20-21-129-001-0000","6601 S NORMAL BLVD","60621","-","Sold","-","RT-4","06","ENGLEWOOD","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-22-229-040-0000","648 E 67TH ST","60637","-","Owned by City","-","B3-2","20","WOODLAWN","05/26/2017","Partially Verified","05/23/2006","-","11/02/2021","-","-","N"
"20-22-229-041-0000","650 E 67TH ST","60637","-","Owned by City","-","B3-2","20","WOODLAWN","05/26/2017","Partially Verified","08/26/2001","-","11/02/2021","-","-","N"
"20-22-229-042-0000","652 E 67TH ST","60637","-","Owned by City","-","B3-2","20","WOODLAWN","05/26/2017","Partially Verified","05/23/2006","-","11/02/2021","-","-","N"
"20-22-230-027-0000","6632 S EVANS AVE","60637","-","Owned by City","-","RT-4","20","WOODLAWN","05/26/2017","Partially Verified","07/30/1992","-","11/02/2021","-","-","N"
"20-22-230-035-0000","702 E 67TH ST","60637","-","Owned by City","-","RT-4","20","WOODLAWN","05/26/2017","Partially Verified","01/25/2006","-","11/02/2021","-","-","N"
